Name,Id,Description,Level,Power,BaseIntensity,Variance,BaseMana,BaseRangeConstant,BaseRangeMod,Boost,BoostVariance,MaxBoost,Category,ComponentLoss,CritFrequency,CritMultiplier,DamageRatio,DamageType,Destination,DotDuration,Duration,ElementalModifier,GetDamagePerTick,GetNumTicks,IconID,IsBeneficial,IsFellowshipSpell,IsHarmful,IsImpenBaneType,IsNegativeRedirectable,IsOtherNegativeRedirectable,IsPortalSpell,IsProjectile,IsResistable,IsSelfTargeted,IsTracking,LossPercent,MinDamage,MaxDamage,DispelSchool,Number,NumberVariance,MinPower,MaxPower,PowerVariance,MetaSpellType,NonComponentTargetType,NotFound,NumProjectiles,NumProjectilesVariance,PortalLifetime,Position,PowerMod,Proportion,RecoveryAmount,RecoveryInterval,School,SlayerCreatureType,SlayerDamageBonus,Source,SourceLoss,SpellEconomyMod,SpreadAngle,StatModKey,StatModType,StatModVal,TargetEffect,FizzleEffect,CasterEffect,TransferCap,TransferFlags,UpdatesMaxVitals,UpdatesRunRate,VitalDamageType,Wcid,WeenieClassId
Mana Renewal Other IV,209,Increases the target's natural mana rate by 55%.,4,150,0,0,40,5,0.55,0,0,0,ManaAccelerating,0.15,0,1,1,Undef,Undef,0,1800,1,0,0,100668288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],150,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,5,"Float, SingleStat, Multiplicative",1.55,RegenUpBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Mana Renewal Other V,210,Increases the target's natural mana rate by 70%.,5,200,0,0,50,5,0.4,0,0,0,ManaAccelerating,0.2,0,1,1,Undef,Undef,0,1800,1,0,0,100668288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],200,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,5,"Float, SingleStat, Multiplicative",1.7,RegenUpBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Mana Renewal Other VI,211,Increases the target's natural mana rate by 85%.,6,250,0,0,60,5,0.25,0,0,0,ManaAccelerating,0.3,0,1,1,Undef,Undef,0,2700,1,0,0,100668288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],250,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,5,"Float, SingleStat, Multiplicative",1.85,RegenUpBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,2700
Mana Renewal Self I,212,Increases the caster's natural mana rate by 10%.,1,25,0,0,20,0,0,0,0,0,ManaAccelerating,0.01,0,1,1,Undef,Undef,0,1800,1,0,0,100668288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,5,"Float, SingleStat, Multiplicative",1.1,RegenUpBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Mana Renewal Self II,213,Increases the caster's natural mana rate by 25%.,2,50,0,0,30,0,0,0,0,0,ManaAccelerating,0.05,0,1,1,Undef,Undef,0,1800,1,0,0,100668288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],50,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,5,"Float, SingleStat, Multiplicative",1.25,RegenUpBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Mana Renewal Self III,214,Increases the caster's natural mana rate by 40%.,3,100,0,0,40,0,0,0,0,0,ManaAccelerating,0.1,0,1,1,Undef,Undef,0,1800,1,0,0,100668288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],100,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,5,"Float, SingleStat, Multiplicative",1.4,RegenUpBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Mana Renewal Self IV,215,Increases the caster's natural mana rate by 55%.,4,150,0,0,50,0,0,0,0,0,ManaAccelerating,0.15,0,1,1,Undef,Undef,0,1800,1,0,0,100668288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],150,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,5,"Float, SingleStat, Multiplicative",1.55,RegenUpBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Mana Renewal Self V,216,Increases the caster's natural mana rate by 70%.,5,200,0,0,60,0,0,0,0,0,ManaAccelerating,0.2,0,1,1,Undef,Undef,0,1800,1,0,0,100668288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],200,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,5,"Float, SingleStat, Multiplicative",1.7,RegenUpBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Mana Renewal Self VI,217,Increases the caster's natural mana rate by 85%.,6,250,0,0,70,0,0,0,0,0,ManaAccelerating,0.3,0,1,1,Undef,Undef,0,2700,1,0,0,100668288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],250,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,5,"Float, SingleStat, Multiplicative",1.85,RegenUpBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,2700
Mana Depletion Other I,218,Decreases target's natural mana rate by 9%.,1,25,0,0,10,5,1,0,0,0,ManaDecelerating,0.01,0,1,1,Undef,Undef,0,60,1,0,0,100668288,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,5,"Float, SingleStat, Multiplicative",0.91,RegenDownBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,60
Mana Depletion Other II,219,Decreases target's natural mana rate by 20%.,2,75,0,0,20,5,0.85,0,0,0,ManaDecelerating,0.05,0,1,1,Undef,Undef,0,90,1,0,0,100668288,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],75,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,5,"Float, SingleStat, Multiplicative",0.8,RegenDownBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,90
Mana Depletion Other III,220,Decreases target's natural mana rate by 29%.,3,125,0,0,30,5,0.7,0,0,0,ManaDecelerating,0.1,0,1,1,Undef,Undef,0,120,1,0,0,100668288,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],125,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,5,"Float, SingleStat, Multiplicative",0.71,RegenDownBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,120
Mana Depletion Other IV,221,Decreases target's natural mana rate by 35%.,4,175,0,0,40,5,0.55,0,0,0,ManaDecelerating,0.15,0,1,1,Undef,Undef,0,150,1,0,0,100668288,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],175,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,5,"Float, SingleStat, Multiplicative",0.65,RegenDownBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,150
Mana Depletion Other V,222,Decreases target's natural mana rate by 41%.,5,225,0,0,50,5,0.4,0,0,0,ManaDecelerating,0.2,0,1,1,Undef,Undef,0,180,1,0,0,100668288,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],225,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,5,"Float, SingleStat, Multiplicative",0.59,RegenDownBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,180
Mana Depletion Other VI,223,Decreases target's natural mana rate by 46%.,6,275,0,0,60,5,0.25,0,0,0,ManaDecelerating,0.3,0,1,1,Undef,Undef,0,210,1,0,0,100668288,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],275,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,5,"Float, SingleStat, Multiplicative",0.54,RegenDownBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,210
Mana Depletion Self IV,227,Decreases caster's natural mana rate by 35%.,4,175,0,0,50,0,0,0,0,0,ManaDecelerating,0.15,0,1,1,Undef,Undef,0,150,1,0,0,100668288,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],175,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,5,"Float, SingleStat, Multiplicative",0.65,RegenDownBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,150
Mana Depletion Self V,228,Decreases caster's natural mana rate by 41%.,5,225,0,0,60,0,0,0,0,0,ManaDecelerating,0.2,0,1,1,Undef,Undef,0,180,1,0,0,100668288,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],225,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,5,"Float, SingleStat, Multiplicative",0.59,RegenDownBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,180
Mana Depletion Self VI,229,Decreases caster's natural mana rate by 46%.,6,275,0,0,70,0,0,0,0,0,ManaDecelerating,0.3,0,1,1,Undef,Undef,0,210,1,0,0,100668288,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],275,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,5,"Float, SingleStat, Multiplicative",0.54,RegenDownBlue,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,210
Vulnerability Other II,230,Decrease the target's Melee Defense skill by 15 points.,2,75,0,0,20,5,0.85,0,0,0,MeleeDefenseLowering,0.05,0,1,1,Undef,Undef,0,90,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],75,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-15,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,90
Vulnerability Other III,231,Decrease the target's Melee Defense skill by 20 points.,3,125,0,0,30,5,0.7,0,0,0,MeleeDefenseLowering,0.1,0,1,1,Undef,Undef,0,120,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],125,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-20,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,120
Vulnerability Other IV,232,Decrease the target's Melee Defense skill by 25 points.,4,175,0,0,40,5,0.55,0,0,0,MeleeDefenseLowering,0.15,0,1,1,Undef,Undef,0,150,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],175,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-25,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,150
Vulnerability Other V,233,Decrease the target's Melee Defense skill by 30 points.,5,225,0,0,50,5,0.4,0,0,0,MeleeDefenseLowering,0.2,0,1,1,Undef,Undef,0,180,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],225,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-30,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,180
Vulnerability Other VI,234,Decrease the target's Melee Defense skill by 35 points.,6,275,0,0,60,5,0.25,0,0,0,MeleeDefenseLowering,0.3,0,1,1,Undef,Undef,0,210,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],275,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-35,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,210
Vulnerability Self II,235,Decrease the target's Melee Defense skill by 15 points.,2,75,0,0,30,0,0,0,0,0,MeleeDefenseLowering,0.05,0,1,1,Undef,Undef,0,90,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],75,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-15,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,90
Vulnerability Self III,236,Decrease the target's Melee Defense skill by 20 points.,3,125,0,0,40,0,0,0,0,0,MeleeDefenseLowering,0.1,0,1,1,Undef,Undef,0,120,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],125,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-20,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,120
Vulnerability Self IV,237,Decrease the target's Melee Defense skill by 25 points.,4,175,0,0,50,0,0,0,0,0,MeleeDefenseLowering,0.15,0,1,1,Undef,Undef,0,150,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],175,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-25,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,150
Vulnerability Self V,238,Decrease the target's Melee Defense skill by 30 points.,5,225,0,0,60,0,0,0,0,0,MeleeDefenseLowering,0.2,0,1,1,Undef,Undef,0,180,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],225,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-30,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,180
Vulnerability Self VI,239,Decrease the target's Melee Defense skill by 35 points.,6,275,0,0,70,0,0,0,0,0,MeleeDefenseLowering,0.3,0,1,1,Undef,Undef,0,210,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],275,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-35,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,210
Invulnerability Other II,240,Increases the target's Melee Defense skill by 15 points.,2,50,0,0,20,5,0.85,0,0,0,MeleeDefenseRaising,0.05,0,1,1,Undef,Undef,0,1800,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],50,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",15,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Invulnerability Other III,241,Increases the target's Melee Defense skill by 20 points.,3,100,0,0,30,5,0.7,0,0,0,MeleeDefenseRaising,0.1,0,1,1,Undef,Undef,0,1800,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],100,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",20,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Invulnerability Other IV,242,Increases the target's Melee Defense skill by 25 points.,4,150,0,0,40,5,0.55,0,0,0,MeleeDefenseRaising,0.15,0,1,1,Undef,Undef,0,1800,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],150,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",25,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Invulnerability Other V,243,Increases the target's Melee Defense skill by 30 points.,5,200,0,0,50,5,0.4,0,0,0,MeleeDefenseRaising,0.2,0,1,1,Undef,Undef,0,1800,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],200,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",30,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Invulnerability Other VI,244,Increases the target's Melee Defense skill by 35 points.,6,250,0,0,60,5,0.25,0,0,0,MeleeDefenseRaising,0.3,0,1,1,Undef,Undef,0,2700,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],250,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",35,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,2700
Invulnerability Self II,245,Increases the caster's Melee Defense skill by 15 points.,2,50,0,0,30,0,0,0,0,0,MeleeDefenseRaising,0.05,0,1,1,Undef,Undef,0,1800,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],50,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",15,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Invulnerability Self III,246,Increases the caster's Melee Defense skill by 20 points.,3,100,0,0,40,0,0,0,0,0,MeleeDefenseRaising,0.1,0,1,1,Undef,Undef,0,1800,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],100,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",20,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Invulnerability Self IV,247,Increases the caster's Melee Defense skill by 25 points.,4,150,0,0,50,0,0,0,0,0,MeleeDefenseRaising,0.15,0,1,1,Undef,Undef,0,1800,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],150,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",25,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Invulnerability Self V,248,Increases the caster's Melee Defense skill by 30 points.,5,200,0,0,60,0,0,0,0,0,MeleeDefenseRaising,0.2,0,1,1,Undef,Undef,0,1800,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],200,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",30,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Invulnerability Self VI,249,Increases the caster's Melee Defense skill by 35 points.,6,250,0,0,70,0,0,0,0,0,MeleeDefenseRaising,0.3,0,1,1,Undef,Undef,0,2700,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],250,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",35,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,2700
Impregnability Other I,250,Increases the target's Missile Defense skill by 10 points.,1,1,0,0,10,5,1,0,0,0,MissileDefenseRaising,0.01,0,1,1,Undef,Undef,0,1800,1,0,0,100669126,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,7,"Skill, SingleStat, Additive",10,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Impregnability Other II,251,Increases the target's Missile Defense skill by 15 points.,2,50,0,0,20,5,0.85,0,0,0,MissileDefenseRaising,0.05,0,1,1,Undef,Undef,0,1800,1,0,0,100669126,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],50,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,7,"Skill, SingleStat, Additive",15,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
